phase,interface,channels,num_channels,ceiling_hz,sps,kbps,eos_overruns,dio_drops,enc_drops,enc_fails,timer_isr,total_samples,queue_drops,invariant_delta,leaked,duration_s
ceiling,USB PB,1×T1,1,20000,19242,263,0,0,0,0,193243,,,,,
ceiling,USB PB,1×T2,1,20000,19247,263,0,0,1,1,193312,,,,,
ceiling,USB PB,3×T1,3,17000,16493,387,0,0,0,0,165116,,,,,
ceiling,USB PB,3×T2,3,17000,16498,382,0,0,0,0,165133,,,,,
ceiling,USB PB,5×T1,5,15000,14558,480,0,0,0,0,145726,,,,,
ceiling,USB PB,5×T2,5,15000,14549,483,0,0,0,0,145591,,,,,
ceiling,USB PB,5×T1 OBD=OFF,5,17000,16399,544,0,0,0,0,164086,,,,,
ceiling,USB PB,5×T1 OBD=ON,5,15000,14557,483,0,0,0,0,145710,,,,,
ceiling,USB PB,1×T1 OBD=OFF,1,22000,21212,290,0,0,0,0,212432,,,,,
ceiling,USB PB,1×T1 OBD=ON,1,20000,19192,262,0,0,0,0,192665,,,,,
ceiling,USB PB,8×T2,8,13000,12605,600,0,0,0,0,126181,,,,,
ceiling,USB PB,11×T2,11,11000,10682,666,0,0,0,0,106865,,,,,
ceiling,USB PB,5T1+3T2,8,13000,12621,604,0,0,0,0,126310,,,,,
ceiling,USB PB,5T1+5T2,10,12000,11656,670,0,0,0,0,116669,,,,,
ceiling,USB PB,5T1+11T2,16,9000,8742,760,0,0,0,0,87475,,,,,
ceiling,USB CSV,1×T1,1,19000,18388,308,0,0,0,0,183985,,,,,
ceiling,USB CSV,1×T2,1,19000,18399,309,0,0,0,0,184096,,,,,
ceiling,USB CSV,3×T1,3,15000,14550,710,0,0,0,0,145593,,,,,
ceiling,USB CSV,3×T2,3,15000,14585,704,0,0,0,0,145957,,,,,
ceiling,USB CSV,5×T1,5,13000,12431,1048,0,0,0,0,124441,,,,,
ceiling,USB CSV,5×T2,5,13000,12457,1054,0,0,0,0,124667,,,,,
ceiling,USB CSV,5×T1 OBD=OFF,5,15000,14039,1154,0,0,0,0,141554,,,,,
ceiling,USB CSV,5×T1 OBD=ON,5,13000,12422,1019,0,0,0,0,124333,,,,,
ceiling,USB CSV,1×T1 OBD=OFF,1,20000,19433,332,0,0,0,0,194414,,,,,
ceiling,USB CSV,1×T1 OBD=ON,1,19000,18451,309,0,0,0,0,184700,,,,,
ceiling,USB CSV,8×T2,8,10000,9703,1370,0,0,0,0,97077,,,,,
ceiling,USB CSV,11×T2,11,9000,8529,1577,0,0,0,0,85359,,,,,
ceiling,USB CSV,5T1+3T2,8,10000,9714,1301,0,0,0,0,97199,,,,,
ceiling,USB CSV,5T1+5T2,10,9000,8750,1508,0,0,0,0,87575,,,,,
ceiling,USB CSV,5T1+11T2,16,7000,6695,1771,0,0,0,0,66994,,,,,
ceiling,SD PB,1×T1,1,11000,0,0,0,0,1,1,111036,,,,,
ceiling,SD PB,1×T2,1,11000,0,0,0,0,0,0,111630,,,,,
ceiling,SD PB,3×T1,3,8000,0,0,0,0,0,0,81187,,,,,
ceiling,SD PB,3×T2,3,8000,0,0,0,0,0,0,81195,,,,,
ceiling,SD PB,5×T1,5,7000,0,0,0,0,0,0,71113,,,,,
ceiling,SD PB,5×T2,5,7000,0,0,0,0,0,0,70763,,,,,
ceiling,SD PB,5×T1 OBD=OFF,5,8000,0,0,0,0,0,0,80810,,,,,
ceiling,SD PB,5×T1 OBD=ON,5,7000,0,0,0,0,0,0,71113,,,,,
ceiling,SD PB,1×T1 OBD=OFF,1,12000,0,0,0,0,0,0,121817,,,,,
ceiling,SD PB,1×T1 OBD=ON,1,11000,0,0,0,0,0,0,111641,,,,,
ceiling,SD PB,8×T2,8,6000,0,0,0,0,0,0,60902,,,,,
ceiling,SD PB,11×T2,11,5000,0,0,0,0,0,0,50762,,,,,
ceiling,SD PB,5T1+3T2,8,6000,0,0,0,0,0,0,60902,,,,,
ceiling,SD PB,5T1+5T2,10,5000,0,0,0,0,0,0,50812,,,,,
ceiling,SD PB,5T1+11T2,16,4000,0,0,0,0,0,0,40565,,,,,
ceiling,SD CSV,1×T1,1,9000,0,0,0,0,0,0,91358,,,,,
ceiling,SD CSV,1×T2,1,9000,0,0,0,0,0,0,91358,,,,,
ceiling,SD CSV,3×T1,3,5000,0,0,0,0,0,0,51057,,,,,
ceiling,SD CSV,3×T2,3,5000,0,0,0,0,0,0,50757,,,,,
ceiling,SD CSV,5×T1,5,2000,0,0,0,0,0,0,20268,,,,,
ceiling,SD CSV,5×T2,5,4000,0,0,0,0,0,0,40569,,,,,
ceiling,SD CSV,5×T1 OBD=OFF,5,4000,0,0,0,0,0,0,40509,,,,,
ceiling,SD CSV,5×T1 OBD=ON,5,4000,0,0,0,0,0,0,40589,,,,,
